frame,tiempo_s,x,y,radio
186,6.200508196721311,393,279,43
187,6.233844262295082,408,279,43
188,6.267180327868853,420,278,42
189,6.3005163934426225,430,277,42
190,6.333852459016393,435,275,40
191,6.367188524590164,436,275,40
192,6.4005245901639345,432,275,40
193,6.433860655737705,424,276,41
194,6.467196721311475,413,278,42
195,6.500532786885246,399,277,43
196,6.533868852459016,384,278,43
197,6.567204918032787,369,277,43
198,6.600540983606558,358,276,42
199,6.633877049180327,354,277,42
200,6.667213114754098,355,277,42
201,6.700549180327869,359,277,42
202,6.733885245901639,365,277,42
203,6.76722131147541,375,277,43
204,6.80055737704918,388,275,43
205,6.8338934426229505,401,275,43
206,6.867229508196721,412,271,42
207,6.900565573770492,418,270,41
208,6.9339016393442625,420,269,41
209,6.967237704918032,419,268,41
210,7.000573770491803,414,268,41
211,7.033909836065574,406,270,42
212,7.067245901639344,396,270,42
213,7.100581967213115,382,269,43
214,7.133918032786885,368,269,43
215,7.167254098360655,356,268,43
216,7.200590163934426,347,266,42
217,7.233926229508197,343,266,42
218,7.267262295081967,341,266,42
219,7.300598360655738,343,266,42
220,7.333934426229508,349,268,43
221,7.3672704918032785,359,268,43
222,7.400606557377049,369,267,43
223,7.43394262295082,380,267,43
224,7.4672786885245905,389,266,42
225,7.50061475409836,397,265,41
226,7.533950819672131,401,263,41
227,7.567286885245902,402,263,41
228,7.600622950819672,398,265,41
229,7.633959016393443,392,267,42
230,7.667295081967213,381,269,43
231,7.700631147540983,369,270,43
232,7.733967213114754,358,272,43
233,7.767303278688525,348,273,42
234,7.800639344262295,339,273,42
235,7.833975409836065,335,273,41
236,7.867311475409836,335,274,42
237,7.9006475409836066,338,275,42
238,7.933983606557377,344,276,43
239,7.967319672131148,354,276,43
240,8.000655737704918,364,275,43
241,8.033991803278688,374,274,42
242,8.067327868852459,383,272,42
243,8.10066393442623,388,271,41
244,8.134,391,270,41
245,8.167336065573771,392,270,41
246,8.200672131147542,389,269,41
247,8.23400819672131,382,270,42
248,8.267344262295081,374,271,42
249,8.300680327868852,363,270,42
250,8.334016393442623,355,270,42
251,8.367352459016393,346,270,42
252,8.400688524590164,339,269,42
253,8.434024590163935,336,270,41
254,8.467360655737705,335,269,41
255,8.500696721311476,339,270,42
256,8.534032786885247,345,271,42
257,8.567368852459015,353,271,42
258,8.600704918032786,362,271,43
259,8.634040983606557,371,270,42
260,8.667377049180327,380,270,42
261,8.700713114754098,387,268,41
262,8.734049180327869,391,266,40
263,8.76738524590164,390,266,40
264,8.80072131147541,385,266,41
265,8.83405737704918,379,267,41
266,8.867393442622951,372,269,42
267,8.90072950819672,363,270,42
268,8.934065573770491,354,269,42
269,8.967401639344262,345,268,42
270,9.000737704918032,340,268,42
271,9.034073770491803,336,267,41
272,9.067409836065574,337,268,41
273,9.100745901639344,342,268,42
274,9.134081967213115,348,268,42
275,9.167418032786886,356,269,42
276,9.200754098360656,365,268,42
277,9.234090163934425,374,268,42
278,9.267426229508196,382,268,41
279,9.300762295081967,387,266,41
280,9.334098360655737,388,265,40
281,9.367434426229508,388,265,40
282,9.400770491803279,385,265,41
283,9.43410655737705,380,266,41
284,9.46744262295082,372,266,42
285,9.50077868852459,363,266,42
286,9.534114754098361,354,266,41
287,9.56745081967213,347,266,42
288,9.6007868852459,343,267,42
289,9.634122950819672,340,266,42
290,9.667459016393442,340,266,42
291,9.700795081967213,344,266,41
292,9.734131147540984,350,267,41
293,9.767467213114754,357,267,42
294,9.800803278688525,364,266,42
295,9.834139344262296,372,266,42
296,9.867475409836066,380,265,41
297,9.900811475409837,384,264,41
298,9.934147540983606,386,264,41
299,9.967483606557376,385,264,41
300,10.000819672131147,382,264,41
301,10.034155737704918,377,265,41
302,10.067491803278688,370,266,41
